state,year,quarter,entity_name,insurance_amount
arunachal-pradesh,2023,2,790104,101946.0
arunachal-pradesh,2023,2,792001,53846.0
arunachal-pradesh,2023,3,791110,197412.0
arunachal-pradesh,2023,3,791111,203612.0
arunachal-pradesh,2023,3,791102,106325.0
arunachal-pradesh,2023,3,791113,145263.0
arunachal-pradesh,2023,3,792110,140365.0
arunachal-pradesh,2023,3,792103,50413.0
arunachal-pradesh,2023,3,791123,62165.0
arunachal-pradesh,2023,3,790104,89165.0
arunachal-pradesh,2023,3,792129,82497.0
arunachal-pradesh,2023,3,791109,45255.0
arunachal-pradesh,2023,4,791110,279822.0
arunachal-pradesh,2023,4,791111,241478.0
arunachal-pradesh,2023,4,791113,164868.0
arunachal-pradesh,2023,4,791001,124355.0
arunachal-pradesh,2023,4,792103,108659.0
arunachal-pradesh,2023,4,790104,146680.0
arunachal-pradesh,2023,4,792110,81825.0
arunachal-pradesh,2023,4,791102,81558.0
arunachal-pradesh,2023,4,792001,60980.0
arunachal-pradesh,2023,4,791123,71486.0
arunachal-pradesh,2024,1,791110,258768.0
arunachal-pradesh,2024,1,791111,296463.0
arunachal-pradesh,2024,1,791113,149366.0
arunachal-pradesh,2024,1,791102,171426.0
arunachal-pradesh,2024,1,791001,128932.0
arunachal-pradesh,2024,1,792110,123833.0
arunachal-pradesh,2024,1,792001,92713.0
arunachal-pradesh,2024,1,791109,66049.0
arunachal-pradesh,2024,1,792103,80498.0
arunachal-pradesh,2024,1,790104,81575.0
arunachal-pradesh,2024,2,790104,109202.0
arunachal-pradesh,2024,2,791110,303724.0
arunachal-pradesh,2024,2,791111,287734.0
arunachal-pradesh,2024,2,791113,131979.0
arunachal-pradesh,2024,2,791001,129656.0
arunachal-pradesh,2024,2,791102,95471.0
arunachal-pradesh,2024,2,792110,102160.0
arunachal-pradesh,2024,2,792001,51507.0
arunachal-pradesh,2024,2,790116,70161.0
arunachal-pradesh,2024,2,792103,77380.0
arunachal-pradesh,2024,3,791111,275822.0
arunachal-pradesh,2024,3,791110,171154.0
arunachal-pradesh,2024,3,790104,90929.0
arunachal-pradesh,2024,3,791102,102083.0
arunachal-pradesh,2024,3,791113,55663.0
arunachal-pradesh,2024,3,790116,111034.0
arunachal-pradesh,2024,3,791001,98436.0
arunachal-pradesh,2024,3,792001,65334.0
arunachal-pradesh,2024,3,792110,52515.0
arunachal-pradesh,2024,3,792130,61484.0
arunachal-pradesh,2024,4,791110,265075.0
arunachal-pradesh,2024,4,791111,268300.0
arunachal-pradesh,2024,4,791102,218443.0
arunachal-pradesh,2024,4,791001,141282.0
arunachal-pradesh,2024,4,790104,177085.0
arunachal-pradesh,2024,4,791113,79922.0
arunachal-pradesh,2024,4,792110,63459.0
arunachal-pradesh,2024,4,792103,73356.0
arunachal-pradesh,2024,4,792001,73556.0
arunachal-pradesh,2024,4,790001,98145.0
assam,2020,2,781022,6530.0
assam,2020,2,781038,6424.0
assam,2020,2,781032,5864.0
assam,2020,2,781006,3630.0
assam,2020,2,781018,3512.0
assam,2020,2,781001,3646.0
assam,2020,2,781005,3763.0
assam,2020,2,783380,3851.0
assam,2020,2,781019,2587.0
assam,2020,2,786171,2911.0
assam,2020,3,781032,19733.0
assam,2020,3,781022,13672.0
assam,2020,3,781001,11968.0
assam,2020,3,781005,10227.0
assam,2020,3,781038,11250.0
assam,2020,3,783380,11182.0
assam,2020,3,781007,13564.0
assam,2020,3,781028,7155.0
assam,2020,3,781020,8122.0
assam,2020,3,781018,8620.0
assam,2020,4,781032,43429.0
assam,2020,4,781022,38700.0
assam,2020,4,781011,14866.0
assam,2020,4,781007,37778.0
assam,2020,4,781028,33443.0
assam,2020,4,783380,16998.0
